File versionlist for the KERN toolbox version 0.1 Saturday, June 12, 2004 at 15:34:42

ardKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
ardKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
biasKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
cmpndKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
computeKernel.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernCreate.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernPriorGradient.m	 vs 	 
kernPriorLogProb.m	 vs 	 
kernTest.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernel.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernelGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
kernelObjective.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
